id,functional_area,det,date,status,title
763,Physical,AFMC,10/2/2020,Closed,convallis eget eleifend luctus ultricies eu
764,Physical,ACC,11/26/2019,Closed,amet consectetuer adipiscing elit proin interdum
765,Physical,Det 1,12/22/2018,Active,ipsum primis in faucibus
766,Information,Det 3,11/22/2022,Active,turpis sed ante vivamus tortor
767,Information,AFMC,1/14/2020,Closed,natoque penatibus et magnis dis
768,Physical,AFSPC,5/21/2020,Active,nascetur ridiculus mus etiam
769,Cyber,ACC,10/14/2022,Active,eget vulputate ut ultrices vel
770,Cyber,Det 11,8/19/2018,Closed,pellentesque eget nunc donec quis orci
771,Physical,AFSPC,10/10/2018,Active,rutrum neque aenean auctor gravida sem
772,Physical,Det 6,10/19/2018,Closed,sit amet nulla quisque arcu libero
773,Physical,Det 7,10/28/2022,Closed,semper sapien a libero nam
774,Physical,AFGSC,9/20/2022,Closed,porta volutpat erat quisque erat
775,Cyber,ACC,6/12/2018,Active,lacus curabitur at ipsum
776,Physical,Det 3,5/12/2020,Closed,ligula nec sem duis aliquam
777,Information,Det 2,3/30/2018,Closed,nisi volutpat eleifend donec ut dolor
778,Cyber,USAFE,2/13/2022,Active,ante vivamus tortor duis
779,Cyber,Det 6,5/21/2018,Closed,convallis tortor risus dapibus augue vel
780,Personnel,AFSOC,2/7/2018,Closed,cubilia curae donec pharetra magna
781,Information,Det 5,9/24/2021,Closed,nunc proin at turpis
782,Personnel,AFGSC,10/11/2022,Closed,quis lectus suspendisse potenti in eleifend
783,Personnel,AFSPC,7/2/2022,Active,fusce congue diam id
784,Physical,AFSOC,12/15/2018,Closed,dui proin leo odio porttitor
785,Cyber,Det 11,10/14/2018,Closed,lacinia aenean sit amet
786,Personnel,Det 1,8/25/2021,Closed,rutrum nulla tellus in sagittis dui
787,Physical,Det 11,3/22/2021,Closed,nulla justo aliquam quis
788,Cyber,Det 5,7/10/2018,Active,sit amet diam in
789,Cyber,Det 3,4/9/2020,Closed,laoreet ut rhoncus aliquet pulvinar sed
790,Information,Det 4,8/11/2019,Closed,dui nec nisi volutpat eleifend donec
791,Personnel,Det 5,8/19/2019,Closed,erat vestibulum sed magna
792,Information,Det 9,4/27/2021,Closed,ultrices posuere cubilia curae donec
793,Physical,ACC,7/12/2020,Closed,quis turpis eget elit sodales scelerisque
794,Personnel,Det 7,6/7/2019,Active,ornare consequat lectus in est risus
795,Physical,USAFE,11/26/2021,Active,sapien non mi integer ac neque
796,Physical,Det 11,8/30/2020,Closed,convallis nulla neque libero convallis eget
797,Physical,Det 3,11/24/2019,Closed,rhoncus dui vel sem sed
798,Personnel,Det 11,5/13/2019,Closed,est et tempus semper
799,Cyber,ACC,12/27/2020,Closed,maecenas pulvinar lobortis est
800,Cyber,AFMC,5/22/2019,Active,in libero ut massa volutpat convallis
801,Cyber,AFSPC,2/6/2023,Active,eros elementum pellentesque quisque porta
802,Personnel,Det 5,4/29/2019,Closed,parturient montes nascetur ridiculus mus etiam
803,Personnel,AFGSC,1/5/2019,Active,diam nam tristique tortor eu pede
804,Personnel,ACC,6/8/2020,Active,sed tincidunt eu felis
805,Physical,Det 11,3/22/2018,Active,rhoncus mauris enim leo rhoncus
806,Information,PACAF,11/18/2019,Closed,duis at velit eu
807,Personnel,Det 7,2/1/2019,Active,gravida sem praesent id massa
808,Information,Det 4,12/26/2018,Active,montes nascetur ridiculus mus
809,Personnel,AFSPC,9/13/2020,Active,ligula nec sem duis aliquam
810,Cyber,Det 7,11/8/2021,Closed,semper sapien a libero nam
811,Personnel,Det 2,9/3/2019,Closed,fringilla rhoncus mauris enim leo
812,Personnel,AFSPC,3/11/2022,Closed,elementum pellentesque quisque porta volutpat erat
813,Physical,AFSOC,2/22/2020,Active,viverra dapibus nulla suscipit
814,Physical,Det 4,1/7/2023,Closed,ut mauris eget massa
815,Physical,AFMC,2/1/2018,Closed,sit amet consectetuer adipiscing elit proin
816,Information,Det 8,4/13/2021,Closed,at nibh in hac
817,Physical,AFSOC,10/8/2019,Closed,imperdiet sapien urna pretium
818,Personnel,AFGSC,1/22/2018,Active,egestas metus aenean fermentum donec ut
819,Physical,Det 6,9/23/2019,Closed,erat nulla tempus vivamus in felis
820,Physical,Det 5,6/16/2020,Closed,nulla ac enim in
821,Physical,PACAF,1/30/2023,Closed,ipsum primis in faucibus
822,Cyber,AFGSC,5/10/2019,Active,sed tristique in tempus sit amet
823,Physical,Det 7,6/24/2022,Closed,aliquet pulvinar sed nisl
824,Information,AFSOC,2/3/2023,Active,posuere cubilia curae duis
825,Information,Det 2,9/22/2019,Active,vestibulum ante ipsum primis in faucibus
826,Cyber,Det 8,11/26/2018,Active,ut at dolor quis odio
827,Information,Det 3,10/19/2022,Closed,convallis nulla neque libero convallis eget
828,Personnel,AFGSC,4/26/2021,Active,leo odio condimentum id luctus
829,Physical,USAFE,2/1/2023,Closed,vitae consectetuer eget rutrum
830,Physical,Det 5,10/7/2022,Active,morbi sem mauris laoreet
831,Personnel,PACAF,7/3/2018,Active,velit donec diam neque vestibulum eget
832,Personnel,Det 8,10/12/2022,Closed,risus dapibus augue vel accumsan tellus
833,Personnel,Det 7,6/12/2021,Closed,nulla justo aliquam quis
834,Information,Det 2,1/15/2023,Closed,in ante vestibulum ante
835,Physical,AFSPC,3/17/2020,Active,mauris morbi non lectus aliquam
836,Cyber,USAFE,2/20/2023,Closed,diam vitae quam suspendisse potenti
837,Personnel,PACAF,4/28/2019,Closed,id pretium iaculis diam erat
838,Physical,AFSPC,12/31/2021,Closed,magna bibendum imperdiet nullam orci
839,Personnel,Det 11,1/21/2018,Active,sapien cum sociis natoque penatibus
840,Information,AMC,5/5/2022,Closed,turpis nec euismod scelerisque
841,Personnel,PACAF,4/16/2020,Active,nullam porttitor lacus at turpis
842,Personnel,Det 7,5/26/2018,Active,tincidunt nulla mollis molestie lorem
843,Physical,Det 2,11/14/2018,Active,ac leo pellentesque ultrices
844,Information,Det 7,7/8/2021,Closed,tincidunt in leo maecenas pulvinar
845,Information,AFMC,3/5/2022,Closed,morbi vestibulum velit id pretium iaculis
846,Personnel,AFSPC,2/18/2019,Active,nisl duis ac nibh fusce lacus
847,Information,Det 7,3/5/2020,Closed,vestibulum ante ipsum primis in
848,Personnel,Det 6,8/19/2018,Closed,id luctus nec molestie sed
849,Information,AFMC,5/9/2018,Closed,arcu adipiscing molestie hendrerit at vulputate
850,Personnel,AFSPC,11/15/2019,Active,nullam porttitor lacus at turpis
851,Physical,ACC,11/10/2018,Closed,quam turpis adipiscing lorem vitae
852,Physical,Det 8,8/13/2019,Active,dis parturient montes nascetur ridiculus
853,Personnel,AFSPC,4/7/2019,Active,dictumst morbi vestibulum velit
854,Physical,AFSPC,1/1/2021,Active,donec pharetra magna vestibulum aliquet
855,Personnel,Det 2,10/25/2019,Closed,congue diam id ornare
856,Personnel,Det 2,6/10/2020,Active,morbi odio odio elementum
857,Information,AFGSC,6/30/2021,Closed,porta volutpat erat quisque
858,Physical,Det 6,7/19/2020,Closed,quam sollicitudin vitae consectetuer
859,Cyber,Det 11,5/9/2019,Active,et tempus semper est
860,Personnel,Det 7,6/18/2019,Closed,ligula vehicula consequat morbi a ipsum
861,Information,Det 11,2/18/2022,Closed,vel nulla eget eros elementum
862,Personnel,Det 8,12/27/2022,Closed,eget eros elementum pellentesque quisque
863,Personnel,AFGSC,4/30/2020,Active,tincidunt ante vel ipsum praesent
864,Information,Det 4,10/22/2021,Closed,dapibus duis at velit eu
865,Cyber,Det 4,2/11/2020,Closed,fringilla rhoncus mauris enim leo rhoncus
866,Cyber,Det 9,7/3/2021,Active,eleifend pede libero quis orci nullam
867,Information,AFGSC,12/22/2020,Active,amet erat nulla tempus
868,Cyber,AFSPC,1/13/2022,Active,ornare imperdiet sapien urna pretium
869,Physical,Det 6,2/3/2021,Active,ut massa quis augue
870,Information,Det 8,1/15/2018,Active,aliquam augue quam sollicitudin vitae consectetuer
871,Physical,Det 5,1/18/2018,Closed,vel accumsan tellus nisi
872,Cyber,Det 9,6/18/2018,Closed,at nibh in hac habitasse platea
873,Physical,Det 7,12/9/2020,Closed,molestie lorem quisque ut
874,Physical,Det 4,5/16/2020,Active,viverra pede ac diam cras pellentesque
875,Personnel,Det 2,10/20/2021,Closed,nulla tempus vivamus in felis
876,Personnel,AFGSC,4/16/2022,Closed,risus auctor sed tristique in
877,Physical,Det 9,3/25/2018,Active,egestas metus aenean fermentum
878,Cyber,Det 4,9/4/2022,Active,at ipsum ac tellus semper
879,Information,USAFE,1/21/2018,Closed,pede ac diam cras pellentesque
880,Physical,ACC,3/1/2022,Active,primis in faucibus orci luctus
881,Cyber,USAFE,3/16/2020,Closed,nec dui luctus rutrum
882,Personnel,Det 3,12/21/2019,Closed,integer a nibh in quis
883,Cyber,Det 9,11/29/2020,Active,ipsum ac tellus semper interdum
884,Personnel,AFSPC,10/20/2021,Closed,sed ante vivamus tortor duis mattis
885,Personnel,AFMC,3/25/2020,Closed,integer tincidunt ante vel
886,Physical,Det 5,2/16/2021,Active,in felis donec semper sapien
887,Cyber,Det 6,3/1/2021,Closed,adipiscing elit proin risus praesent lectus
888,Physical,ACC,5/12/2022,Active,natoque penatibus et magnis
889,Personnel,AFSOC,10/2/2018,Active,interdum venenatis turpis enim blandit mi
890,Cyber,Det 7,1/13/2021,Closed,et eros vestibulum ac
891,Personnel,Det 8,9/22/2022,Active,proin at turpis a
892,Physical,Det 5,3/31/2021,Active,nulla quisque arcu libero rutrum ac
893,Information,Det 1,1/27/2021,Active,massa tempor convallis nulla neque libero
894,Cyber,Det 6,7/31/2018,Active,sit amet eros suspendisse
895,Information,Det 11,12/26/2020,Active,neque aenean auctor gravida sem
896,Physical,ACC,6/2/2020,Closed,luctus ultricies eu nibh quisque
897,Personnel,AFGSC,7/6/2020,Active,curae donec pharetra magna vestibulum aliquet
898,Cyber,USAFE,8/12/2020,Active,semper est quam pharetra
899,Personnel,AFGSC,7/6/2022,Closed,venenatis lacinia aenean sit
900,Personnel,AMC,6/24/2020,Closed,amet sapien dignissim vestibulum
901,Personnel,Det 11,10/12/2020,Active,a feugiat et eros vestibulum ac
902,Cyber,Det 5,1/15/2022,Active,ut massa volutpat convallis morbi odio
903,Personnel,AFMC,4/11/2022,Active,nisl venenatis lacinia aenean sit
904,Physical,Det 4,1/13/2023,Closed,condimentum id luctus nec molestie sed
905,Information,Det 11,11/14/2018,Active,purus eu magna vulputate luctus
906,Physical,AFGSC,12/6/2020,Closed,quis odio consequat varius integer
907,Personnel,Det 3,2/25/2018,Active,odio justo sollicitudin ut suscipit a
908,Information,AFSOC,9/12/2021,Active,erat volutpat in congue
909,Information,AFMC,11/20/2021,Active,primis in faucibus orci luctus
910,Information,AFGSC,5/5/2022,Active,porta volutpat erat quisque erat
911,Physical,AFGSC,7/23/2018,Closed,in purus eu magna
912,Physical,Det 5,1/25/2018,Active,dis parturient montes nascetur ridiculus
913,Physical,Det 1,12/10/2021,Active,augue vestibulum ante ipsum primis in
914,Information,Det 4,1/22/2019,Closed,rutrum ac lobortis vel dapibus
915,Information,Det 4,5/22/2019,Closed,curae nulla dapibus dolor
916,Physical,Det 6,8/25/2018,Closed,non interdum in ante
917,Cyber,AFSOC,12/12/2018,Active,ultrices posuere cubilia curae mauris
918,Personnel,Det 4,8/9/2020,Closed,pellentesque quisque porta volutpat
919,Personnel,AFGSC,10/30/2018,Active,ligula vehicula consequat morbi a ipsum
920,Information,PACAF,5/4/2021,Active,at velit vivamus vel
921,Physical,AMC,8/30/2020,Active,a odio in hac
922,Cyber,Det 6,2/9/2022,Closed,purus phasellus in felis donec semper
923,Personnel,PACAF,9/19/2021,Closed,tristique fusce congue diam id ornare
924,Personnel,Det 2,6/22/2021,Active,et eros vestibulum ac est
925,Information,Det 7,4/4/2021,Closed,tincidunt eget tempus vel
926,Cyber,Det 9,6/5/2022,Closed,quisque erat eros viverra eget congue
927,Physical,PACAF,6/24/2022,Closed,vulputate ut ultrices vel augue vestibulum
928,Physical,Det 5,2/5/2021,Closed,pede lobortis ligula sit
929,Cyber,AFSPC,6/17/2022,Active,donec posuere metus vitae
930,Cyber,Det 5,1/18/2022,Active,maecenas tincidunt lacus at
931,Physical,PACAF,4/22/2018,Closed,in hac habitasse platea dictumst maecenas
932,Personnel,AFSPC,11/12/2022,Active,et ultrices posuere cubilia curae
933,Personnel,Det 3,12/26/2021,Active,tellus semper interdum mauris ullamcorper
934,Physical,Det 1,10/18/2019,Active,turpis elementum ligula vehicula consequat morbi
935,Personnel,Det 1,11/10/2018,Closed,mi integer ac neque duis bibendum
936,Physical,Det 11,12/23/2021,Active,magna bibendum imperdiet nullam orci
937,Information,Det 4,3/18/2019,Closed,vestibulum vestibulum ante ipsum primis
938,Cyber,AFSPC,11/28/2018,Closed,amet sapien dignissim vestibulum
939,Cyber,Det 1,4/30/2022,Active,ipsum ac tellus semper interdum mauris
940,Personnel,AFSOC,8/28/2022,Closed,sed justo pellentesque viverra pede
941,Cyber,Det 9,10/3/2020,Closed,mauris ullamcorper purus sit
942,Information,ACC,6/30/2020,Closed,adipiscing molestie hendrerit at
943,Physical,USAFE,10/17/2020,Active,vel ipsum praesent blandit lacinia
944,Physical,AFMC,1/30/2023,Active,fermentum justo nec condimentum neque sapien
945,Cyber,AFGSC,6/8/2018,Active,luctus ultricies eu nibh quisque
946,Information,USAFE,6/20/2019,Closed,mauris non ligula pellentesque ultrices phasellus
947,Personnel,USAFE,7/24/2019,Active,justo sit amet sapien dignissim vestibulum
948,Information,Det 6,1/24/2021,Active,dignissim vestibulum vestibulum ante
949,Cyber,Det 6,2/11/2021,Closed,non lectus aliquam sit amet
950,Information,AMC,11/24/2022,Closed,nisi eu orci mauris
951,Cyber,PACAF,9/4/2021,Closed,varius integer ac leo pellentesque
952,Personnel,Det 9,2/8/2019,Active,id mauris vulputate elementum
953,Personnel,Det 2,11/20/2021,Closed,magnis dis parturient montes
954,Cyber,AMC,5/20/2020,Closed,praesent blandit nam nulla integer pede
955,Physical,Det 3,3/9/2021,Closed,suscipit a feugiat et eros
956,Information,Det 4,5/12/2022,Closed,pretium nisl ut volutpat sapien arcu
957,Cyber,AMC,3/30/2018,Closed,convallis nulla neque libero
958,Cyber,Det 6,2/17/2020,Active,pulvinar lobortis est phasellus
959,Physical,Det 2,5/18/2020,Active,erat id mauris vulputate elementum nullam
960,Physical,Det 9,12/13/2020,Closed,ac nulla sed vel enim sit
961,Cyber,Det 4,3/10/2020,Closed,posuere cubilia curae mauris
962,Personnel,Det 7,11/23/2020,Active,nulla ultrices aliquet maecenas leo odio
963,Physical,AFSPC,4/5/2019,Closed,amet eleifend pede libero quis orci
964,Cyber,Det 9,5/5/2021,Active,at nibh in hac
965,Cyber,AFMC,8/5/2021,Active,purus eu magna vulputate luctus
966,Cyber,USAFE,7/3/2018,Active,felis fusce posuere felis sed lacus
967,Information,AFMC,9/26/2020,Closed,ornare imperdiet sapien urna pretium nisl
968,Personnel,AFSPC,7/9/2021,Active,duis faucibus accumsan odio
969,Cyber,Det 3,8/2/2021,Closed,lacus purus aliquet at feugiat
970,Physical,PACAF,8/8/2021,Active,felis ut at dolor quis
971,Physical,Det 1,4/27/2018,Closed,pellentesque ultrices phasellus id sapien in
972,Information,AFSPC,10/19/2018,Closed,turpis elementum ligula vehicula
973,Cyber,Det 1,1/20/2021,Active,lectus aliquam sit amet diam in
974,Cyber,Det 6,4/7/2018,Closed,ullamcorper purus sit amet nulla quisque
975,Cyber,AFGSC,5/14/2018,Active,in hac habitasse platea
976,Information,PACAF,1/5/2020,Closed,vitae mattis nibh ligula nec sem
977,Information,AMC,9/11/2018,Closed,mollis molestie lorem quisque ut erat
978,Personnel,Det 4,12/20/2019,Active,rutrum neque aenean auctor gravida sem
979,Information,ACC,11/20/2021,Active,luctus cum sociis natoque penatibus et
980,Personnel,Det 2,8/14/2018,Active,sodales sed tincidunt eu felis
981,Personnel,Det 4,10/2/2021,Closed,et commodo vulputate justo
982,Physical,Det 5,2/10/2023,Active,suscipit a feugiat et eros
983,Information,Det 11,8/9/2020,Closed,lectus aliquam sit amet diam in
984,Personnel,AFMC,8/31/2020,Active,duis bibendum felis sed
985,Personnel,Det 11,9/16/2018,Active,pede lobortis ligula sit
986,Information,USAFE,11/10/2019,Closed,tincidunt eu felis fusce posuere felis
987,Personnel,Det 6,9/28/2020,Active,in faucibus orci luctus et
988,Physical,Det 2,12/22/2018,Closed,praesent blandit nam nulla integer pede
989,Cyber,Det 8,10/25/2019,Active,vel nulla eget eros
990,Cyber,Det 8,5/10/2018,Active,pretium iaculis diam erat fermentum justo
991,Physical,PACAF,4/18/2018,Closed,feugiat et eros vestibulum ac est
992,Cyber,AFSOC,9/30/2018,Closed,ultrices posuere cubilia curae mauris
993,Information,Det 9,1/6/2019,Active,in blandit ultrices enim lorem
994,Physical,Det 5,9/23/2018,Active,in imperdiet et commodo vulputate
995,Personnel,Det 5,2/11/2018,Active,aliquam sit amet diam in magna
996,Cyber,Det 2,8/8/2019,Active,accumsan felis ut at dolor
997,Cyber,AFMC,10/6/2022,Closed,quam suspendisse potenti nullam porttitor
998,Personnel,AMC,11/27/2022,Active,pulvinar lobortis est phasellus
999,Information,AFMC,3/2/2022,Closed,luctus ultricies eu nibh quisque
1000,Personnel,AMC,10/18/2022,Active,eu magna vulputate luctus cum sociis
